Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
3 BHK Apartment for Sale in Sector 4 Dwarka New Delhi,N/A,竄ｹ2.15 Cr,1600 sqft,1600 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK Builder Floor for Sale in Nirman Vihar Preet Vihar New Delhi,N/A,竄ｹ2.90 Cr,1300 sqft,1300 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Mandi New Delhi,N/A,竄ｹ1.60 Cr,2700 sqft,2700 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Main Road,Freehold,"2 Covered,",4,Yes
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ3.41 Cr,1700 sqft,1700 sqft,Ready to Move,1 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
4 BHK House for Sale in Vasant Vihar New Delhi,N/A,竄ｹ25 Cr,4500 sqft,N/A,Ready to Move,N/A,New Property,Semi-Furnished,East,Main Road,Freehold,"4 Covered,",5,Yes
3 BHK Apartment for Sale in IP Extension New Delhi,N/A,竄ｹ1.90 Cr,1350 sqft,N/A,Ready to Move,1 out of 7,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,2 Open,3,Yes
"4 BHK Builder Floor for Sale in Saini Enclave, Anand Vihar New Delhi",N/A,竄ｹ4 Cr,1800 sqft,1800 sqft,Ready to Move,1 out of 3,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
4 BHK Apartment for Sale in Dwarka Mor New Delhi,N/A,竄ｹ2.70 Cr,2302 sqft,N/A,Ready to Move,1 out of 12,Resale,Semi-Furnished,East,Garden/Park,Freehold,1 Covered,4,Yes
4 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi,N/A,竄ｹ2.65 Cr,250 sqyrd,250 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North,N/A,Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ2.45 Cr,1400 sqft,1400 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
4 BHK Apartment for Sale in Westend DLF Chattarpur Farms New Delhi,N/A,竄ｹ2.50 Cr,290 sqyrd,290 sqyrd,N/A,3 out of 5,New Property,Semi-Furnished,South - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
1 BHK Builder Floor for Sale in Defence Colony New Delhi,N/A,竄ｹ16 Cr,1500 sqft,1500 sqft,Ready to Move,1 out of 4,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,"2 Covered,",2,Yes
"10 BHK Builder Floor for Sale in Qutab Enclave, Sri Aurobindo Marg New Delhi",N/A,竄ｹ11 Cr,2600 sqft,2600 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North - West,Main Road,Freehold,"1 Covered,",10,Yes
